Tarih,Saat,GERÇEKLEŞEN ÜRETİM,PLANLANAN ÜRETİM,GERÇEKLEŞEN TÜKETİM,PLANLANAN TÜKETİM,PTF (TRY/MWh),PTF (EUR/MWh),PTF (USD/MWh)
2020-01-01,00,28125.46,25725.5,28125.46,29000,311.65,46.86,52.46
2020-01-01,01,26548.41,24159.99,26548.41,26000,313.24,47.1,52.73
2020-01-01,02,25287.99,22937.15,25287.99,24500,311.08,46.77,52.37
2020-01-01,03,24311.53,21972.48,24311.53,23400,310.7,46.72,52.3
2020-01-01,04,23730.48,21451.33,23730.48,22900,200.01,30.07,33.67
2020-01-01,05,23535.52,21440.4,23535.52,22700,179.99,27.06,30.3
2020-01-01,06,23774.24,21585.83,23774.24,23100,254.0,38.19,42.76
2020-01-01,07,24112.0,22075.15,24112.0,23600,300.01,45.11,50.51
2020-01-01,08,24196.77,22443.03,24196.77,23900,209.99,31.57,35.35
2020-01-01,09,25402.1,23715.42,25402.1,25500,200.01,30.07,33.67
2020-01-01,10,26788.47,24910.37,26788.47,27200,310.14,46.63,52.21
2020-01-01,11,28060.72,26486.25,28060.72,29000,311.12,46.78,52.38
2020-01-01,12,28700.55,26897.37,28700.55,30800,310.81,46.73,52.32
2020-01-01,13,29224.32,27551.7,29224.32,31500,311.28,46.8,52.4
2020-01-01,14,29613.62,28127.64,29613.62,31700,288.57,43.39,48.58
2020-01-01,15,30313.96,28405.26,30313.96,32100,290.01,43.61,48.82
2020-01-01,16,31318.36,29292.14,31318.36,32600,312.41,46.97,52.59
2020-01-01,17,33214.7,30676.25,33214.7,34100,315.56,47.45,53.12
2020-01-01,18,34667.61,31446.74,34667.61,34000,316.22,47.55,53.23
2020-01-01,19,34356.8,31079.38,34356.8,33300,314.08,47.23,52.87
2020-01-01,20,33546.76,30397.78,33546.76,32700,311.12,46.78,52.38
2020-01-01,21,33004.97,29574.39,33004.97,31800,310.2,46.64,52.22
2020-01-01,22,32080.63,28814.75,32080.63,30900,274.57,41.28,46.22
2020-01-01,23,30698.95,27434.0,30793.95,30000,250.64,37.69,42.19
2020-01-02,00,29132.07,26355.43,29132.07,29800,310.53,46.61,52.28
2020-01-02,01,27694.66,24741.11,27694.66,28600,311.38,46.74,52.42
2020-01-02,02,26662.38,23746.52,26662.38,27100,290.01,43.53,48.82
2020-01-02,03,26111.08,22833.46,26111.08,26500,250.0,37.53,42.09
2020-01-02,04,25939.56,22737.62,25939.56,26300,180.0,27.02,30.3
2020-01-02,05,26425.33,23082.63,26425.33,26700,180.0,27.02,30.3
2020-01-02,06,27675.23,24306.67,27675.23,28200,180.0,27.02,30.3
2020-01-02,07,30819.25,26898.09,30819.25,31200,310.71,46.64,52.31
2020-01-02,08,36065.98,31695.42,36065.98,35900,319.37,47.94,53.77
2020-01-02,09,39141.53,34872.3,39141.53,39000,323.95,48.63,54.54
2020-01-02,10,40060.11,36189.14,40060.11,40200,326.74,49.04,55.01
2020-01-02,11,40493.42,36866.9,40493.42,40900,329.69,49.49,55.5
2020-01-02,12,39176.39,35702.51,39176.39,39900,324.81,48.75,54.68
2020-01-02,13,39682.56,35826.22,39682.56,40200,325.45,48.85,54.79
2020-01-02,14,40259.63,36412.5,40259.63,40600,327.13,49.1,55.07
2020-01-02,15,40331.29,36271.44,40331.29,40500,326.5,49.01,54.97
2020-01-02,16,40904.43,36682.2,40904.43,40600,328.75,49.35,55.35
2020-01-02,17,41728.62,37676.31,41728.62,41100,331.52,49.76,55.81
2020-01-02,18,41220.41,36957.68,41220.41,40200,329.43,49.45,55.46
